Date,Close
1/2/2018 16:00:00,158.49
1/3/2018 16:00:00,160.03
1/4/2018 16:00:00,160.31
1/5/2018 16:00:00,161.92
1/8/2018 16:00:00,162.55
1/9/2018 16:00:00,162.56
1/10/2018 16:00:00,162.18
1/11/2018 16:00:00,163.29
1/12/2018 16:00:00,164.49
1/16/2018 16:00:00,164.02
1/17/2018 16:00:00,165.79
1/18/2018 16:00:00,165.82
1/19/2018 16:00:00,166.34
1/22/2018 16:00:00,168.12
1/23/2018 16:00:00,169.51
1/24/2018 16:00:00,168.41
1/25/2018 16:00:00,168.35
1/26/2018 16:00:00,170.93
1/29/2018 16:00:00,170.1
1/30/2018 16:00:00,168.7
1/31/2018 16:00:00,169.4
2/1/2018 16:00:00,167.96
2/2/2018 16:00:00,164.61
2/5/2018 16:00:00,158.12
2/6/2018 16:00:00,162.31
2/7/2018 16:00:00,160.21
2/8/2018 16:00:00,153.45
2/9/2018 16:00:00,156.1
2/12/2018 16:00:00,158.87
2/13/2018 16:00:00,159.69
2/14/2018 16:00:00,162.68
2/15/2018 16:00:00,165.7
2/16/2018 16:00:00,164.96
2/20/2018 16:00:00,165.29
2/21/2018 16:00:00,164.82
2/22/2018 16:00:00,164.8
2/23/2018 16:00:00,168.17
2/26/2018 16:00:00,170.4
2/27/2018 16:00:00,168.29
2/28/2018 16:00:00,167.21
3/1/2018 16:00:00,164.48
3/2/2018 16:00:00,165.99
3/5/2018 16:00:00,167.83
3/6/2018 16:00:00,168.54
3/7/2018 16:00:00,168.93
3/8/2018 16:00:00,169.86
3/9/2018 16:00:00,173.16
3/12/2018 16:00:00,174.08
3/13/2018 16:00:00,171.71
3/14/2018 16:00:00,171.68
3/15/2018 16:00:00,171.53
3/16/2018 16:00:00,171.02
3/19/2018 16:00:00,167.1
3/20/2018 16:00:00,167.65
3/21/2018 16:00:00,166.92
3/22/2018 16:00:00,162.8
3/23/2018 16:00:00,158.51
3/26/2018 16:00:00,164.4
3/27/2018 16:00:00,159.08
3/28/2018 16:00:00,157.25
3/29/2018 16:00:00,160.13
4/2/2018 16:00:00,155.51
4/3/2018 16:00:00,157.26
4/4/2018 16:00:00,159.74
4/5/2018 16:00:00,160.65
4/6/2018 16:00:00,156.63
4/9/2018 16:00:00,157.73
4/10/2018 16:00:00,161.21
4/11/2018 16:00:00,160.28
4/12/2018 16:00:00,162.21
4/13/2018 16:00:00,161.37
4/16/2018 16:00:00,162.6
4/17/2018 16:00:00,166.1
4/18/2018 16:00:00,166.44
4/19/2018 16:00:00,164.91
4/20/2018 16:00:00,162.3
4/23/2018 16:00:00,161.89
4/24/2018 16:00:00,158.46
4/25/2018 16:00:00,158.65
4/26/2018 16:00:00,161.99
4/27/2018 16:00:00,162.09
4/30/2018 16:00:00,160.94
5/1/2018 16:00:00,162.78
5/2/2018 16:00:00,161.82
5/3/2018 16:00:00,161.8
5/4/2018 16:00:00,164.87
5/7/2018 16:00:00,166.24
5/8/2018 16:00:00,166.07
5/9/2018 16:00:00,167.88
5/10/2018 16:00:00,169.62
5/11/2018 16:00:00,169.46
5/14/2018 16:00:00,169.75
5/15/2018 16:00:00,167.87
5/16/2018 16:00:00,168.98
5/17/2018 16:00:00,168.33
5/18/2018 16:00:00,167.46
5/21/2018 16:00:00,168.4
5/22/2018 16:00:00,168.18
5/23/2018 16:00:00,169.6
5/24/2018 16:00:00,169.55
5/25/2018 16:00:00,169.72
5/29/2018 16:00:00,168.97
5/30/2018 16:00:00,170.18
5/31/2018 16:00:00,170.07
6/1/2018 16:00:00,172.74
6/4/2018 16:00:00,174.3
6/5/2018 16:00:00,174.84
6/6/2018 16:00:00,175.86
6/7/2018 16:00:00,174.43
6/8/2018 16:00:00,174.44
6/11/2018 16:00:00,174.91
6/12/2018 16:00:00,175.83
6/13/2018 16:00:00,175.82
6/14/2018 16:00:00,177.6
6/15/2018 16:00:00,176.98
6/18/2018 16:00:00,176.5
6/19/2018 16:00:00,176
6/20/2018 16:00:00,177.25
6/21/2018 16:00:00,175.71
6/22/2018 16:00:00,175.32
6/25/2018 16:00:00,171.37
6/26/2018 16:00:00,172.07
6/27/2018 16:00:00,169.73
6/28/2018 16:00:00,171.19
6/29/2018 16:00:00,171.65
7/2/2018 16:00:00,172.8
7/3/2018 13:00:00,170.8
7/5/2018 16:00:00,172.92
7/6/2018 16:00:00,175.61
7/9/2018 16:00:00,177.19
7/10/2018 16:00:00,177.32
7/11/2018 16:00:00,176.42
7/12/2018 16:00:00,179.46
7/13/2018 16:00:00,179.61
7/16/2018 16:00:00,179.18
7/17/2018 16:00:00,180.27
7/18/2018 16:00:00,179.93
7/19/2018 16:00:00,179.03
7/20/2018 16:00:00,178.99
7/23/2018 16:00:00,179.56
7/24/2018 16:00:00,180.3
7/25/2018 16:00:00,182.82
7/26/2018 16:00:00,180.05
7/27/2018 16:00:00,177.62
7/30/2018 16:00:00,175.11
7/31/2018 16:00:00,176.45
8/1/2018 16:00:00,177.12
8/2/2018 16:00:00,179.53
8/3/2018 16:00:00,180.08
8/6/2018 16:00:00,181.14
8/7/2018 16:00:00,181.8
8/8/2018 16:00:00,182.02
8/9/2018 16:00:00,181.91
8/10/2018 16:00:00,180.52
8/13/2018 16:00:00,180.32
8/14/2018 16:00:00,181.45
8/15/2018 16:00:00,179.23
8/16/2018 16:00:00,179.82
8/17/2018 16:00:00,179.86
8/20/2018 16:00:00,179.7
8/21/2018 16:00:00,180.36
8/22/2018 16:00:00,181.06
8/23/2018 16:00:00,180.8
8/24/2018 16:00:00,182.48
8/27/2018 16:00:00,184.34
8/28/2018 16:00:00,184.61
8/29/2018 16:00:00,186.74
8/30/2018 16:00:00,186.41
8/31/2018 16:00:00,186.65
9/4/2018 16:00:00,185.85
9/5/2018 16:00:00,183.45
9/6/2018 16:00:00,181.81
9/7/2018 16:00:00,181.11
9/10/2018 16:00:00,181.72
9/11/2018 16:00:00,183.12
9/12/2018 16:00:00,182.58
9/13/2018 16:00:00,184.53
9/14/2018 16:00:00,183.99
9/17/2018 16:00:00,181.34
9/18/2018 16:00:00,182.84
9/19/2018 16:00:00,182.7
9/20/2018 16:00:00,184.72
9/21/2018 16:00:00,183.71
9/24/2018 16:00:00,183.89
9/25/2018 16:00:00,184.14
9/26/2018 16:00:00,184.27
9/27/2018 16:00:00,185.83
9/28/2018 16:00:00,185.79
10/1/2018 16:00:00,186.17
10/2/2018 16:00:00,185.75
10/3/2018 16:00:00,185.95
10/4/2018 16:00:00,182.38
10/5/2018 16:00:00,180.15
10/8/2018 16:00:00,179.05
10/9/2018 16:00:00,179.63
10/10/2018 16:00:00,171.73
10/11/2018 16:00:00,169.6
10/12/2018 16:00:00,174.32
10/15/2018 16:00:00,172.21
10/16/2018 16:00:00,177.22
10/17/2018 16:00:00,177.29
10/18/2018 16:00:00,173.18
10/19/2018 16:00:00,173.02
10/22/2018 16:00:00,173.91
10/23/2018 16:00:00,173.27
10/24/2018 16:00:00,165.34
10/25/2018 16:00:00,171.06
10/26/2018 16:00:00,166.66
10/29/2018 16:00:00,163.23
10/30/2018 16:00:00,165.92
10/31/2018 16:00:00,169.82
11/1/2018 16:00:00,172.06
11/2/2018 16:00:00,169.38
11/5/2018 16:00:00,168.96
11/6/2018 16:00:00,170.24
11/7/2018 16:00:00,175.58
11/8/2018 16:00:00,174.46
11/9/2018 16:00:00,171.52
11/12/2018 16:00:00,166.33
11/13/2018 16:00:00,166.47
11/14/2018 16:00:00,165.2
11/15/2018 16:00:00,168.09
11/16/2018 16:00:00,167.5
11/19/2018 16:00:00,162.06
11/20/2018 16:00:00,159.16
11/21/2018 16:00:00,160.37
11/23/2018 13:00:00,159.21
11/26/2018 16:00:00,162.89
11/27/2018 16:00:00,163.44
11/28/2018 16:00:00,168.7
11/29/2018 16:00:00,168.15
11/30/2018 16:00:00,169.37
12/3/2018 16:00:00,172.33
12/4/2018 16:00:00,165.72
12/6/2018 16:00:00,166.89
12/7/2018 16:00:00,161.38
12/10/2018 16:00:00,163.07
12/11/2018 16:00:00,163.61
12/12/2018 16:00:00,165.05
12/13/2018 16:00:00,165.1
